"Plot Title: IAH-5/20/21"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20895964, SEN S/N: 20895964)","Intensity, lum/ft² (LGR S/N: 20895964, SEN S/N: 20895964)","Coupler Attached (LGR S/N: 20895964)","Host Connected (LGR S/N: 20895964)","Stopped (LGR S/N: 20895964)","End Of File (LGR S/N: 20895964)"
1,05/20/21 12:00:00 PM,15.091,576.0,,,,
2,05/20/21 12:15:00 PM,9.669,216.0,,,,
3,05/20/21 12:30:00 PM,9.571,184.0,,,,
4,05/20/21 12:45:00 PM,9.472,192.0,,,,
5,05/20/21 01:00:00 PM,9.669,704.0,,,,
6,05/20/21 01:15:00 PM,9.768,704.0,,,,
7,05/20/21 01:30:00 PM,9.866,608.0,,,,
8,05/20/21 01:45:00 PM,9.965,672.0,,,,
9,05/20/21 02:00:00 PM,9.866,608.0,,,,
10,05/20/21 02:15:00 PM,9.965,864.0,,,,
11,05/20/21 02:30:00 PM,9.866,864.0,,,,
12,05/20/21 02:45:00 PM,9.571,576.0,,,,
13,05/20/21 03:00:00 PM,9.571,672.0,,,,
14,05/20/21 03:15:00 PM,9.571,576.0,,,,
15,05/20/21 03:30:00 PM,9.571,576.0,,,,
16,05/20/21 03:45:00 PM,9.472,480.0,,,,
17,05/20/21 04:00:00 PM,9.472,464.0,,,,
18,05/20/21 04:15:00 PM,9.373,384.0,,,,
19,05/20/21 04:30:00 PM,9.373,352.0,,,,
20,05/20/21 04:45:00 PM,9.373,136.0,,,,
21,05/20/21 05:00:00 PM,9.275,256.0,,,,
22,05/20/21 05:15:00 PM,9.275,128.0,,,,
23,05/20/21 05:30:00 PM,9.176,176.0,,,,
24,05/20/21 05:45:00 PM,9.176,136.0,,,,
25,05/20/21 06:00:00 PM,9.077,120.0,,,,
26,05/20/21 06:15:00 PM,8.978,85.0,,,,
27,05/20/21 06:30:00 PM,8.978,45.0,,,,
28,05/20/21 06:45:00 PM,8.879,43.0,,,,
29,05/20/21 07:00:00 PM,8.779,27.0,,,,
30,05/20/21 07:15:00 PM,8.680,13.0,,,,
31,05/20/21 07:30:00 PM,8.680,7.0,,,,
32,05/20/21 07:45:00 PM,8.581,4.0,,,,
33,05/20/21 08:00:00 PM,8.581,1.0,,,,
34,05/20/21 08:15:00 PM,8.680,0.0,,,,
35,05/20/21 08:30:00 PM,8.680,0.0,,,,
36,05/20/21 08:45:00 PM,8.581,0.0,,,,
37,05/20/21 09:00:00 PM,8.581,0.0,,,,
38,05/20/21 09:15:00 PM,8.581,0.0,,,,
39,05/20/21 09:30:00 PM,8.581,0.0,,,,
40,05/20/21 09:45:00 PM,8.779,0.0,,,,
41,05/20/21 10:00:00 PM,8.879,0.0,,,,
42,05/20/21 10:15:00 PM,8.879,0.0,,,,
43,05/20/21 10:30:00 PM,8.879,0.0,,,,
44,05/20/21 10:45:00 PM,8.879,0.0,,,,
45,05/20/21 11:00:00 PM,8.879,0.0,,,,
46,05/20/21 11:15:00 PM,8.879,0.0,,,,
47,05/20/21 11:30:00 PM,8.879,0.0,,,,
48,05/20/21 11:45:00 PM,8.879,0.0,,,,
49,05/21/21 12:00:00 AM,8.779,0.0,,,,
50,05/21/21 12:15:00 AM,8.779,0.0,,,,
51,05/21/21 12:30:00 AM,8.779,0.0,,,,
52,05/21/21 12:45:00 AM,8.779,0.0,,,,
53,05/21/21 01:00:00 AM,8.779,0.0,,,,
54,05/21/21 01:15:00 AM,8.779,0.0,,,,
55,05/21/21 01:30:00 AM,8.779,0.0,,,,
56,05/21/21 01:45:00 AM,8.779,0.0,,,,
57,05/21/21 02:00:00 AM,8.779,0.0,,,,
58,05/21/21 02:15:00 AM,8.779,0.0,,,,
59,05/21/21 02:30:00 AM,8.779,0.0,,,,
60,05/21/21 02:45:00 AM,8.779,0.0,,,,
61,05/21/21 03:00:00 AM,8.779,0.0,,,,
62,05/21/21 03:15:00 AM,8.779,0.0,,,,
63,05/21/21 03:30:00 AM,8.779,0.0,,,,
64,05/21/21 03:45:00 AM,8.879,0.0,,,,
65,05/21/21 04:00:00 AM,8.879,0.0,,,,
66,05/21/21 04:15:00 AM,8.978,0.0,,,,
67,05/21/21 04:30:00 AM,8.978,0.0,,,,
68,05/21/21 04:45:00 AM,8.978,0.0,,,,
69,05/21/21 05:00:00 AM,8.978,0.0,,,,
70,05/21/21 05:15:00 AM,8.978,4.0,,,,
71,05/21/21 05:30:00 AM,8.978,11.0,,,,
72,05/21/21 05:45:00 AM,8.978,19.0,,,,
73,05/21/21 06:00:00 AM,8.978,28.0,,,,
74,05/21/21 06:15:00 AM,8.978,45.0,,,,
75,05/21/21 06:30:00 AM,8.978,61.0,,,,
76,05/21/21 06:45:00 AM,8.978,76.0,,,,
77,05/21/21 07:00:00 AM,8.978,70.0,,,,
78,05/21/21 07:15:00 AM,8.879,103.0,,,,
79,05/21/21 07:30:00 AM,8.879,128.0,,,,
80,05/21/21 07:45:00 AM,8.879,77.0,,,,
81,05/21/21 08:00:00 AM,8.879,75.0,,,,
82,05/21/21 08:15:00 AM,8.779,103.0,,,,
83,05/21/21 08:30:00 AM,8.978,184.0,,,,
84,05/21/21 08:45:00 AM,9.077,192.0,,,,
85,05/21/21 09:00:00 AM,8.978,240.0,,,,
86,05/21/21 09:15:00 AM,8.879,248.0,,,,
87,05/21/21 09:30:00 AM,8.978,304.0,,,,
88,05/21/21 09:45:00 AM,8.879,288.0,,,,
89,05/21/21 10:00:00 AM,8.978,288.0,,,,
90,05/21/21 10:15:00 AM,9.176,336.0,,,,
91,05/21/21 10:30:00 AM,9.275,512.0,,,,
92,05/21/21 10:45:00 AM,9.275,672.0,,,,
93,05/21/21 11:00:00 AM,9.373,512.0,,,,
94,05/21/21 11:15:00 AM,9.275,496.0,,,,
95,05/21/21 11:30:00 AM,9.275,512.0,,,,
96,05/21/21 11:45:00 AM,9.176,800.0,,,,
97,05/21/21 12:00:00 PM,9.077,448.0,,,,
98,05/21/21 12:15:00 PM,9.176,896.0,,,,
99,05/21/21 12:30:00 PM,9.275,1216.0,,,,
100,05/21/21 12:45:00 PM,9.373,1344.0,,,,
101,05/21/21 01:00:00 PM,9.176,704.0,,,,
102,05/21/21 01:15:00 PM,9.176,480.0,,,,
103,05/21/21 01:30:00 PM,9.472,1344.0,,,,
104,05/21/21 01:45:00 PM,9.275,576.0,,,,
105,05/21/21 02:00:00 PM,9.373,768.0,,,,
106,05/21/21 02:15:00 PM,9.373,960.0,,,,
107,05/21/21 02:30:00 PM,9.373,864.0,,,,
108,05/21/21 02:45:00 PM,9.373,864.0,,,,
109,05/21/21 03:00:00 PM,9.373,864.0,,,,
110,05/21/21 03:15:00 PM,9.373,800.0,,,,
111,05/21/21 03:30:00 PM,9.373,608.0,,,,
112,05/21/21 03:45:00 PM,9.373,576.0,,,,
113,05/21/21 04:00:00 PM,9.373,480.0,,,,
114,05/21/21 04:15:00 PM,9.275,480.0,,,,
115,05/21/21 04:30:00 PM,9.275,416.0,,,,
116,05/21/21 04:45:00 PM,9.176,336.0,,,,
117,05/21/21 05:00:00 PM,9.176,272.0,,,,
118,05/21/21 05:15:00 PM,9.077,232.0,,,,
119,05/21/21 05:30:00 PM,9.077,200.0,,,,
120,05/21/21 05:45:00 PM,8.978,144.0,,,,
121,05/21/21 06:00:00 PM,8.978,144.0,,,,
