"Plot Title: Marshall"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20889891, SEN S/N: 20889891)","Intensity, lum/ft² (LGR S/N: 20889891, SEN S/N: 20889891)","Coupler Attached (LGR S/N: 20889891)","Coupler Detached (LGR S/N: 20889891)","Host Connected (LGR S/N: 20889891)","Stopped (LGR S/N: 20889891)","End Of File (LGR S/N: 20889891)"
1,06/09/21 12:00:00 PM,27.370,16384.0,,,,,
2,06/09/21 12:15:00 PM,30.457,15360.0,,,,,
3,06/09/21 12:30:00 PM,28.853,6656.0,,,,,
4,06/09/21 12:45:00 PM,26.000,2560.0,,,,,
5,06/09/21 01:00:00 PM,25.416,3072.0,,,,,
6,06/09/21 01:15:00 PM,28.555,13312.0,,,,,
7,06/09/21 01:30:00 PM,27.272,3840.0,,,,,
8,06/09/21 01:45:00 PM,11.528,5.0,,,,,
9,06/09/21 02:00:00 PM,9.373,4.0,,,,,
10,06/09/21 02:15:00 PM,9.472,54.0,,,,,
11,06/09/21 02:30:00 PM,9.472,152.0,,,,,
12,06/09/21 02:45:00 PM,9.866,101.0,,,,,
13,06/09/21 03:00:00 PM,9.965,384.0,,,,,
14,06/09/21 03:15:00 PM,10.063,30.0,,,,,
15,06/09/21 03:30:00 PM,10.161,52.0,,,,,
16,06/09/21 03:45:00 PM,10.063,41.0,,,,,
17,06/09/21 04:00:00 PM,10.063,46.0,,,,,
18,06/09/21 04:15:00 PM,10.063,48.0,,,,,
19,06/09/21 04:30:00 PM,9.965,50.0,,,,,
20,06/09/21 04:45:00 PM,9.965,37.0,,,,,
21,06/09/21 05:00:00 PM,9.965,39.0,,,,,
22,06/09/21 05:15:00 PM,10.063,39.0,,,,,
23,06/09/21 05:30:00 PM,9.965,41.0,,,,,
24,06/09/21 05:45:00 PM,9.866,36.0,,,,,
25,06/09/21 06:00:00 PM,9.768,27.0,,,,,
26,06/09/21 06:15:00 PM,9.768,9.0,,,,,
27,06/09/21 06:30:00 PM,9.571,23.0,,,,,
28,06/09/21 06:45:00 PM,9.669,15.0,,,,,
29,06/09/21 07:00:00 PM,9.669,8.0,,,,,
30,06/09/21 07:15:00 PM,9.768,3.0,,,,,
31,06/09/21 07:30:00 PM,9.965,2.0,,,,,
32,06/09/21 07:45:00 PM,10.161,1.0,,,,,
33,06/09/21 08:00:00 PM,10.357,0.0,,,,,
34,06/09/21 08:15:00 PM,10.259,0.0,,,,,
35,06/09/21 08:30:00 PM,10.259,0.0,,,,,
36,06/09/21 08:45:00 PM,10.161,0.0,,,,,
37,06/09/21 09:00:00 PM,9.768,0.0,,,,,
38,06/09/21 09:15:00 PM,9.571,0.0,,,,,
39,06/09/21 09:30:00 PM,9.571,0.0,,,,,
40,06/09/21 09:45:00 PM,9.472,0.0,,,,,
41,06/09/21 10:00:00 PM,9.373,0.0,,,,,
42,06/09/21 10:15:00 PM,9.373,0.0,,,,,
43,06/09/21 10:30:00 PM,9.373,0.0,,,,,
44,06/09/21 10:45:00 PM,9.373,0.0,,,,,
45,06/09/21 11:00:00 PM,9.373,0.0,,,,,
46,06/09/21 11:15:00 PM,9.373,0.0,,,,,
47,06/09/21 11:30:00 PM,9.373,0.0,,,,,
48,06/09/21 11:45:00 PM,9.373,0.0,,,,,
49,06/10/21 12:00:00 AM,9.472,0.0,,,,,
50,06/10/21 12:15:00 AM,9.768,0.0,,,,,
51,06/10/21 12:30:00 AM,9.866,0.0,,,,,
52,06/10/21 12:45:00 AM,9.768,0.0,,,,,
53,06/10/21 01:00:00 AM,9.176,0.0,,,,,
54,06/10/21 01:15:00 AM,9.077,0.0,,,,,
55,06/10/21 01:30:00 AM,9.077,0.0,,,,,
56,06/10/21 01:45:00 AM,9.077,0.0,,,,,
57,06/10/21 02:00:00 AM,9.077,0.0,,,,,
58,06/10/21 02:15:00 AM,9.176,0.0,,,,,
59,06/10/21 02:30:00 AM,9.275,0.0,,,,,
